CHAMBER_OF_COMMERCE_NO,DEFAULT_SORT,DEVELOPER_AR,DEVELOPER_EN,DEVELOPER_ID,DEVELOPER_NUMBER,FAX,LEGAL_STATUS,LEGAL_STATUS_AR,LEGAL_STATUS_EN,LICENSE_EXPIRY_DATE,LICENSE_ISSUE_DATE,LICENSE_NUMBER,LICENSE_SOURCE_AR,LICENSE_SOURCE_EN,LICENSE_SOURCE_ID,LICENSE_TYPE_AR,LICENSE_TYPE_EN,LICENSE_TYPE_ID,PARTICIPANT_ID,PHONE,REGISTRATION_DATE,RN,TOTAL,WEBPAGE
,DEFAULT,رقان للتطوير العقاري ذ.م.م,RUQAN REAL ESTATE DEVELOPMENT L.L.C,0,2677,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607826,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:38:10,1,26,
,DEFAULT,ليريانا للتطوير العقاري ش.ذ.م.م,LYRIANA REAL ESTATE DEVELOPMENT L.L.C,0,2678,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607830,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:39:57,2,26,
,DEFAULT,أكسيس للتطوير العقاري ش.ذ.م.م,AXIS REAL ESTATE DEVELOPMENT L.L.C,0,2679,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1608445,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:41:14,3,26,
,DEFAULT,مود للتطوير العقاري ذ.م.م,MOOD REAL ESTATE DEVELOPMENT L.L.C,0,2680,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607453,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:42:13,4,26,
,DEFAULT,انورا للتطوير العقاري ش.ذ.م.م,ANOORA REAL ESTATE DEVELOPMENT L.L.C,0,2681,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607426,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:43:10,5,26,
,DEFAULT,سوهور للتطوير العقاري ش.ذ.م.م,SUHOR REAL ESTATE DEVELOPMENT L.L.C,0,2682,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607484,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:44:26,6,26,
,DEFAULT,نيركون للتطوير العقاري ش.ذ.م.م,NERQON REAL ESTATE DEVELOPMENT L.L.C,0,2683,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607408,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:45:23,7,26,
,DEFAULT,كادوري للتطوير العقاري ش.ذ.م.م,QADORY REAL ESTATE DEVELOPMENT L.L.C,0,2684,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1607070,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:46:26,8,26,
,DEFAULT,أورميا للتطوير العقاري ش.ذ.م.م,ORMEA REAL ESTATE DEVELOPMENT L.L.C,0,2685,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1608517,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:47:46,9,26,
,DEFAULT,فولتكس للتطوير العقاري ش.ذ.م.م,VULTEX REAL ESTATE DEVELOPMENT L.L.C,0,2686,,,,,2027-02-26T00:00:00,2026-02-27T00:00:00,1606111,دائرة التنمية الاقتصادية,DUBAI ECONOMIC DEPARTMENT,0,,,0,0,,2026-03-02T22:48:56,10,26,
