ADOPTION_DATE,AREA_AR,AREA_EN,CNT_BUILDING,CNT_LAND,CNT_TOTAL,CNT_UNIT,CNT_VILLA,COMPLETION_DATE,DEFAULT_SORT,DESCRIPTION_AR,DESCRIPTION_EN,DEVELOPER_AR,DEVELOPER_EN,DEVELOPER_NUMBER,END_DATE,ESCROW_ACCOUNT_NUMBER,INSPECTION_DATE,MASTER_PROJECT_AR,MASTER_PROJECT_EN,PERCENT_COMPLETED,PRJ_TYPE_AR,PRJ_TYPE_EN,PROJECT_AR,PROJECT_EN,PROJECT_NUMBER,PROJECT_STATUS,PROJECT_VALUE,RN,START_DATE,TOTAL,ZONE_AR,ZONE_EN
2025-12-10T12:07:11,مدينة المطار,Madinat Al Mataar,0,0,249,249,0,,DEFAULT,ارضي+16 طابق,G+16 Floor,بي تي للعقارات دي دبليو سي - ش.ذ.م.م,BT PROPERTIES DWC LLC,2254,2029-03-17T00:00:00,1.00E+15,2025-05-02T15:09:25,,,0,عادي,Normal,وعد - كاسكيدا 2,Waada - Cascada 2,3732,ACTIVE,172786300,1,2026-03-18T00:00:00,76,دبي للجنوب,Dubai South
2025-07-15T11:47:26,البرشاء جنوب الرابعة,Al Barsha South Fourth,0,0,130,130,0,,DEFAULT,G+5P+13Floors+Amenities,G+5P+13Floors+Amenities,ذا وييف لتطوير العقارات ش.ذ.م.م,THE WEAVE REAL ESTATE DEVELOPMENT L.L.C,1955,2028-09-01T00:00:00,4.03E+15,2025-06-09T19:08:03,,,0,عادي,Normal,ذا وييف ,The Weave,3805,ACTIVE,65844240,2,2026-03-01T00:00:00,76,تراخيص,Trakhees
2026-03-12T13:44:47,وادي الصفا 5,Wadi Al Safa 5,0,0,186,186,0,,DEFAULT,مبني سكني واحد يتكون من (عدد 2 سرداب + أرضي + قاعدة الأبراج + عدد 11 طابق متكرر + سطح),One Residential Building (B2+G+11+ROOF),أيوم 99 هوم للتطوير العقاري ش.ذ.م.م,AUM 99 HOME REAL ESTATE DEVELOPMENTS L.L.C,2250,2029-03-31T00:00:00,2.06E+11,2025-07-15T11:09:38,,,0,عادي,Normal,أيوم 99 ريزيدنسز,AUM 99 Residences,3818,ACTIVE,37500000,3,2026-03-31T00:00:00,76,,
2025-06-18T11:59:09,معيصم الأول,Me'Aisem First,0,0,247,0,247,,DEFAULT,N/A,Total of 247 (G+1 villas & G+1 + Roof villas),جيه جي اي للعقارات ش.ذ.م.م,JGE REAL ESTATE L.L.C,2249,2028-11-17T00:00:00,2.06E+11,2026-01-23T10:22:47,,,0.32,عادي,Normal,باينوود استيت هومز,Pinewood Estate Homes,3832,ACTIVE,720951905,4,2026-03-18T00:00:00,76,تراخيص,Trakhees
2025-07-29T09:22:01,مدينة دبي الملاحية,Madinat Dubai Almelaheyah,0,0,354,354,0,,DEFAULT,مبنى سكني أرضي + 3 بوديوم + 41 طابق + سطح ,Residential Building G +3P+ 41 Floor +Roof,مانارولا للتطوير العقاري ش.ذ.م.م,MANAROLA REAL ESTATE DEVELOPMENTS L.L.C,2264,2028-06-30T00:00:00,2.06E+11,2026-03-17T10:57:41,,,0,عادي,Normal,تاليا,Talea,3869,ACTIVE,326000000,5,2026-03-30T00:00:00,76,تراخيص,Trakhees
2025-09-18T10:10:37,اليلايس 2,Al Yelayiss 2,0,0,146,146,0,,DEFAULT,"أرضي + 2 باركنج + 10 + مواقف بالطابق الأرضي + طوابق بوديوم 
",G+2P+10+parking in Ground floor & podium floors,نشاما للعقارات لمالكها نشمي ديفلوبمنت شركة الشخص الواحد ش.ذ.م.م,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,1162,2028-06-30T00:00:00,4.03E+15,2025-08-13T09:58:55,,,0,عادي,Normal,فيوري,Fiori,4028,ACTIVE,124901695,6,2026-03-16T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
2025-09-10T14:17:36,مدينة المطار,Madinat Al Mataar,0,0,200,0,200,,DEFAULT,المشروع يتكوّن من 200 تاون هاوس يضم مزيجًا من وحدات مكوّنة من 3 و4 و5 غرف نوم,"The project consists of 200 modern townhouses offering a mix of 3, 4, and 5-bedroom units.",دبي الجنوب للعقارات دي دبليو سي ش.ذ.م.م,DUBAI SOUTH PROPERTIES DWC LLC,1142,2028-07-31T00:00:00,2.06E+11,2026-03-13T06:34:40,,,0,عادي,Normal,حياة 4,Hayat 4 ,4038,ACTIVE,454596261,7,2026-03-30T00:00:00,76,دبي للجنوب,Dubai South
2025-10-02T12:16:42,معيصم الأول,Me'Aisem First,0,0,75,75,0,,DEFAULT,"مبني سكني  مكون من ? ( قبو خدمي + بناء ارضي + 5 طابق سكني) 
",B (Services)+G + 5 Res. Floor + Retail,ديار للتطوير (ش.م.ع),DEYAAR DEVELOPMENT (P.J.S.C),15,2027-12-31T00:00:00,4.55E+11,2025-08-18T15:30:17,,,0,عادي,Normal,ألدر في بارك فايف,ALDER AT PARK FIVE,4052,ACTIVE,55200000,8,2026-03-01T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
2025-09-10T14:20:44,مدينة المطار,Madinat Al Mataar,0,0,112,0,112,,DEFAULT,المشروع يتكوّن من 112تاون هاوس يضم مزيجًا من وحدات مكوّنة من  4 و5 غرف نوم,"The project consists of 112 modern townhouses offering a mix of 4, and 5-bedroom units.",دبي الجنوب للعقارات دي دبليو سي ش.ذ.م.م,DUBAI SOUTH PROPERTIES DWC LLC,1142,2028-07-30T00:00:00,2.06E+11,2026-03-13T06:46:24,,,0,عادي,Normal,حياة 5,Hayat 5,4053,ACTIVE,265442749,9,2026-03-30T00:00:00,76,دبي للجنوب,Dubai South
2025-09-22T14:01:56,الخليج التجارى,Business Bay,0,0,164,164,0,,DEFAULT,"
مبنى سكني و تجار ي
 قبو 3+ أرضي + 46 طابق + سطح",Residential and Commercial Building (3B + G + 46 Floors + R),وديان الغرير للتطوير العقاري ش.ذ.م.م,WEDYAN AL GHURAIR REAL ESTATE DEVELOPMENT L.L.C,2054,2029-09-15T00:00:00,19000089390,2025-09-01T17:51:08,,,0,عادي,Normal,وديان,Wedyan,4071,ACTIVE,920000000,10,2026-03-15T00:00:00,76,سلطة دبي للتطوير,Dubai Development Authority (DDA)
