DEVELOPER_EN,DEVELOPER_NUMBER,LICENSE_EXPIRY_DATE,LICENSE_ISSUE_DATE,LICENSE_NUMBER,LICENSE_SOURCE_EN,LICENSE_SOURCE_ID,LICENSE_TYPE_EN,LICENSE_TYPE_ID,PARTICIPANT_ID,REGISTRATION_DATE
RUQAN REAL ESTATE DEVELOPMENT L.L.C,2677,2027-02-26T00:00:00,2026-02-27T00:00:00,1607826,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:38:10
LYRIANA REAL ESTATE DEVELOPMENT L.L.C,2678,2027-02-26T00:00:00,2026-02-27T00:00:00,1607830,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:39:57
AXIS REAL ESTATE DEVELOPMENT L.L.C,2679,2027-02-26T00:00:00,2026-02-27T00:00:00,1608445,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:41:14
MOOD REAL ESTATE DEVELOPMENT L.L.C,2680,2027-02-26T00:00:00,2026-02-27T00:00:00,1607453,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:42:13
ANOORA REAL ESTATE DEVELOPMENT L.L.C,2681,2027-02-26T00:00:00,2026-02-27T00:00:00,1607426,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:43:10
SUHOR REAL ESTATE DEVELOPMENT L.L.C,2682,2027-02-26T00:00:00,2026-02-27T00:00:00,1607484,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:44:26
NERQON REAL ESTATE DEVELOPMENT L.L.C,2683,2027-02-26T00:00:00,2026-02-27T00:00:00,1607408,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:45:23
QADORY REAL ESTATE DEVELOPMENT L.L.C,2684,2027-02-26T00:00:00,2026-02-27T00:00:00,1607070,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:46:26
ORMEA REAL ESTATE DEVELOPMENT L.L.C,2685,2027-02-26T00:00:00,2026-02-27T00:00:00,1608517,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:47:46
VULTEX REAL ESTATE DEVELOPMENT L.L.C,2686,2027-02-26T00:00:00,2026-02-27T00:00:00,1606111,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:48:56
SKYLAR REAL ESTATE DEVELOPMENT L.L.C,2687,2027-02-26T00:00:00,2026-02-27T00:00:00,1607073,DUBAI ECONOMIC DEPARTMENT,0,PROFESSIONAL,0,0,2026-03-02T22:50:09
COASTLINE VIEWS REAL ESTATE DEVELOPMENT L.L.C,2688,2027-02-26T00:00:00,2026-02-27T00:00:00,1607828,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-02T22:51:17
GOLDFAIR DEVELOPERS L.L.C,2689,2027-02-12T00:00:00,2026-02-13T00:00:00,1594374,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-04T11:08:04
CASA D ORO PROPERTIES L.L.C,2690,2027-02-25T00:00:00,2026-02-26T00:00:00,1598002,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-04T13:40:39
ADLAC TERRA REAL ESTATE DEVELOPMENT L.L.C,2691,2027-03-08T00:00:00,2026-03-09T00:00:00,1611147,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-09T19:50:50
REPORTAGE CAPITAL REAL ESTATE DEVELOPMENT L.L.C,2692,2027-01-26T00:00:00,2026-01-27T00:00:00,1589439,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-10T10:09:10
PRIMESTONE FOR BUYING AND SELLING OF REAL ESTATE CO. L.L.C,2693,2027-02-08T00:00:00,2024-02-09T00:00:00,1309017,DUBAI ECONOMIC DEPARTMENT,0,PROFESSIONAL,0,0,2026-03-11T09:38:56
W J D REAL ESTATE L.L.C,2694,2027-02-10T00:00:00,2026-02-11T00:00:00,1547015,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-11T11:10:35
AURORA SPV 4 L.L.C,2695,2027-01-08T00:00:00,2026-01-09T00:00:00,1587779,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-12T20:40:20
ORVION REAL ESTATE DEVELOPMENT L.L.C,2696,2027-03-10T00:00:00,2026-03-11T00:00:00,1611647,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-12T23:31:14
RIVA REAL ESTATE DEVELOPMENT L.L.C S.O.C,2697,2027-03-15T00:00:00,2026-03-16T00:00:00,1612964,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-16T19:32:26
ACUBE ZETA REAL ESTATE DEVELOPMENT L.L.C,2698,2027-03-16T00:00:00,2026-03-17T00:00:00,1612789,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-17T19:37:10
PRESTIGE AVENUE REAL ESTATE DEVELOPMENT L.L.C,2699,2027-03-13T00:00:00,2026-03-14T00:00:00,1611015,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-23T11:23:00
MY VILLAS DEVELOPMENT LLC,2700,2027-03-22T00:00:00,2026-03-23T00:00:00,1612909,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-25T12:31:15
ASTRALIS LIVING REAL ESTATE DEVELOPMENT L.L.C,2701,2027-03-24T00:00:00,2026-03-25T00:00:00,1610925,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-26T22:28:30
PRIME RESIDENTIAL DEVELOPMENT L.L.C,2702,2027-03-24T00:00:00,2026-03-25T00:00:00,1609083,DUBAI ECONOMIC DEPARTMENT,0,,0,0,2026-03-30T11:34:32
