ADOPTION_DATE,AREA_EN,CNT_BUILDING,CNT_LAND,CNT_TOTAL,CNT_UNIT,CNT_VILLA,COMPLETION_DATE,DESCRIPTION_EN,DEVELOPER_EN,DEVELOPER_NUMBER,END_DATE,ESCROW_ACCOUNT_NUMBER,INSPECTION_DATE,MASTER_PROJECT_EN,PERCENT_COMPLETED,PROJECT_EN,PROJECT_NUMBER,PROJECT_STATUS,PROJECT_VALUE,START_DATE,ZONE_EN
2025-12-10T12:07:11,Madinat Al Mataar,0,0,249,249,0,,G+16 Floor,BT PROPERTIES DWC LLC,2254,2029-03-17T00:00:00,1.00E+15,2025-05-02T15:09:25,,0,Waada - Cascada 2,3732,ACTIVE,172786300,2026-03-18T00:00:00,Dubai South
2025-07-15T11:47:26,Al Barsha South Fourth,0,0,130,130,0,,G+5P+13Floors+Amenities,THE WEAVE REAL ESTATE DEVELOPMENT L.L.C,1955,2028-09-01T00:00:00,4.03E+15,2025-06-09T19:08:03,,0,The Weave,3805,ACTIVE,65844240,2026-03-01T00:00:00,Trakhees
2026-03-12T13:44:47,Wadi Al Safa 5,0,0,186,186,0,,One Residential Building (B2+G+11+ROOF),AUM 99 HOME REAL ESTATE DEVELOPMENTS L.L.C,2250,2029-03-31T00:00:00,2.06E+11,2025-07-15T11:09:38,,0,AUM 99 Residences,3818,ACTIVE,37500000,2026-03-31T00:00:00,
2025-06-18T11:59:09,Me'Aisem First,0,0,247,0,247,,Total of 247 (G+1 villas & G+1 + Roof villas),JGE REAL ESTATE L.L.C,2249,2028-11-17T00:00:00,2.06E+11,2026-01-23T10:22:47,,0.32,Pinewood Estate Homes,3832,ACTIVE,720951905,2026-03-18T00:00:00,Trakhees
2025-07-29T09:22:01,Madinat Dubai Almelaheyah,0,0,354,354,0,,Residential Building G +3P+ 41 Floor +Roof,MANAROLA REAL ESTATE DEVELOPMENTS L.L.C,2264,2028-06-30T00:00:00,2.06E+11,2026-03-17T10:57:41,,0,Talea,3869,ACTIVE,326000000,2026-03-30T00:00:00,Trakhees
2025-09-18T10:10:37,Al Yelayiss 2,0,0,146,146,0,,G+2P+10+parking in Ground floor & podium floors,NSHAMA PROPERTIES OWNED BY NSHMI DEVELOPMENT ONE PERSON COMPANY L.L.C,1162,2028-06-30T00:00:00,4.03E+15,2025-08-13T09:58:55,,0,Fiori,4028,ACTIVE,124901695,2026-03-16T00:00:00,Dubai Development Authority (DDA)
2025-09-10T14:17:36,Madinat Al Mataar,0,0,200,0,200,,"The project consists of 200 modern townhouses offering a mix of 3, 4, and 5-bedroom units.",DUBAI SOUTH PROPERTIES DWC LLC,1142,2028-07-31T00:00:00,2.06E+11,2026-03-13T06:34:40,,0,Hayat 4 ,4038,ACTIVE,454596261,2026-03-30T00:00:00,Dubai South
2025-10-02T12:16:42,Me'Aisem First,0,0,75,75,0,,B (Services)+G + 5 Res. Floor + Retail,DEYAAR DEVELOPMENT (P.J.S.C),15,2027-12-31T00:00:00,4.55E+11,2025-08-18T15:30:17,,0,ALDER AT PARK FIVE,4052,ACTIVE,55200000,2026-03-01T00:00:00,Dubai Development Authority (DDA)
2025-09-10T14:20:44,Madinat Al Mataar,0,0,112,0,112,,"The project consists of 112 modern townhouses offering a mix of 4, and 5-bedroom units.",DUBAI SOUTH PROPERTIES DWC LLC,1142,2028-07-30T00:00:00,2.06E+11,2026-03-13T06:46:24,,0,Hayat 5,4053,ACTIVE,265442749,2026-03-30T00:00:00,Dubai South
2025-09-22T14:01:56,Business Bay,0,0,164,164,0,,Residential and Commercial Building (3B + G + 46 Floors + R),WEDYAN AL GHURAIR REAL ESTATE DEVELOPMENT L.L.C,2054,2029-09-15T00:00:00,19000089390,2025-09-01T17:51:08,,0,Wedyan,4071,ACTIVE,920000000,2026-03-15T00:00:00,Dubai Development Authority (DDA)
