ACTUAL_AREA,ACTUAL_WORTH,AREA_EN,INSTANCE_DATE,PROCEDURE_AREA,PROCEDURE_NUMBER,PROCEDURE_YEAR,PROPERTY_TOTAL_VALUE,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN,ROW_STATUS_CODE
3716.12,39999,Al Khabeesi,2026-03-30T11:02:56,3716.12,1669,2026,39999,Land,Commercial,ENTERED
37.17,518480.32,Jabal Ali First,2026-03-13T05:15:49,37.17,1480,2026,518480,Unit,Flat,COMPLETED
89.92,682395.72,Nadd Hessa,2026-03-04T11:25:38,89.92,1373,2026,682396,Unit,Flat,COMPLETED
35.97,800000,Wadi Al Safa 3,2026-03-04T14:06:00,35.97,1382,2026,800000,Unit,Flat,COMPLETED
68.64,841500.72,Al Barshaa South Third,2026-03-18T19:02:49,68.64,1559,2026,841501,Unit,Flat,COMPLETED
84.73,854675.73,Nadd Hessa,2026-03-31T10:33:21,84.73,1695,2026,854676,Unit,Flat,COMPLETED
101.01,882528.92,Al Hebiah Fourth,2026-03-16T10:28:31,101.01,1508,2026,882529,Unit,Flat,COMPLETED
72.05,887455.98,Al Barsha South Fourth,2026-03-26T01:25:36,72.05,1633,2026,887456,Unit,Flat,COMPLETED
41.42,962216.11,Marsa Dubai,2026-03-13T11:20:38,41.42,1486,2026,962216,Unit,Flat,COMPLETED
183.95,1000000,Al Muteena,2026-03-25T10:41:45,183.95,1623,2026,1000000,Land,Commercial,COMPLETED
186.01,1001097,Hor Al Anz,2026-03-17T11:15:45,186.01,1533,2026,1001097,Land,Residential,COMPLETED
129.14,1018258.33,Me'Aisem First,2026-03-13T09:22:48,129.14,1481,2026,1018258,Unit,Flat,COMPLETED
112.48,1033109.14,Al Hebiah Fourth,2026-03-13T09:31:35,112.48,1483,2026,1033109,Unit,Flat,COMPLETED
37.9,1035915.59,Business Bay,2026-03-19T10:46:41,37.9,1560,2026,1035916,Unit,Flat,COMPLETED
55.45,1074355.39,Al Merkadh,2026-03-09T09:31:00,55.45,1413,2026,1074355,Unit,Flat,COMPLETED
77.04,1127682.62,Marsa Dubai,2026-03-16T09:56:39,77.04,1505,2026,1127683,Unit,Flat,COMPLETED
135.06,1128245.07,Al Hebiah Fourth,2026-03-16T10:52:13,135.06,1510,2026,1128245,Unit,Flat,COMPLETED
80.04,1135479.93,Al Thanyah Fifth,2026-03-13T09:26:13,80.04,1482,2026,1135480,Unit,Office,COMPLETED
111.05,1200000,Jabal Ali First,2026-03-05T12:07:40,111.05,1394,2026,1200000,Unit,Flat,COMPLETED
232.26,1200000,Al Waheda,2026-03-18T15:18:34,232.26,1557,2026,1200000,Land,Residential,COMPLETED
76,1206284.87,Al Barshaa South Third,2026-03-12T12:14:39,76,1473,2026,1206285,Unit,Flat,COMPLETED
64.45,1210000,Al Barsha South Fifth,2026-03-03T12:00:44,64.45,1360,2026,1210000,Unit,Flat,COMPLETED
91.31,1269858.15,Al Yelayiss 2,2026-03-13T11:50:31,91.31,1488,2026,1269858,Unit,Flat,COMPLETED
107.77,1276028,Eyal Nasser,2026-03-02T00:00:29,107.77,1330,2026,1276028,Land,Commercial,COMPLETED
72.15,1281130.65,Al Thanyah Third,2026-03-16T14:28:37,72.15,1526,2026,1281131,Unit,Flat,COMPLETED
70.14,1324366.89,Al Thanyah Third,2026-03-10T10:50:52,70.14,1438,2026,1324367,Unit,Flat,COMPLETED
232.26,1375013,Abu Hail,2026-03-31T12:23:07,232.26,1700,2026,1375013,Land,Residential,COMPLETED
232.26,1400000,Al Waheda,2026-03-16T13:53:05,232.26,1523,2026,1400000,Land,Residential,COMPLETED
77.09,1413167.68,Business Bay,2026-03-06T11:11:44,77.09,1406,2026,1413168,Unit,Flat,COMPLETED
102.7,1440631.99,Al Thanyah Fifth,2026-03-13T09:45:17,102.7,1484,2026,1440632,Unit,Office,COMPLETED
77.08,1458597.55,Business Bay,2026-03-18T11:42:27,77.08,1551,2026,1458598,Unit,Flat,COMPLETED
100.99,1557470.59,Business Bay,2026-03-02T09:59:03,100.99,1334,2026,1557471,Unit,Office,COMPLETED
76.73,1562709.2,Al Merkadh,2026-03-02T13:16:47,76.73,1348,2026,1562709,Unit,Flat,COMPLETED
77.53,1578196.53,Al Merkadh,2026-03-02T13:19:20,77.53,1349,2026,1578197,Unit,Flat,COMPLETED
65.5,1581175.61,Al Khairan First,2026-03-11T10:07:33,65.5,1454,2026,1581176,Unit,Flat,COMPLETED
268.21,1587842,Hor Al Anz,2026-03-17T11:17:01,268.21,1534,2026,1587842,Land,Commercial,COMMITTED
138.95,1587975.63,Al Thanyah Fifth,2026-03-26T15:11:20,138.95,1653,2026,1587976,Unit,Flat,COMPLETED
135.28,1595582.56,Mirdif,2026-03-24T15:43:14,135.28,1610,2026,1595583,Unit,Flat,COMPLETED
278.71,1600000,Al Waheda,2026-03-16T14:17:06,278.71,1524,2026,1600000,Land,Residential,COMPLETED
743.44,1600463,Madinat Latifa,2026-03-09T11:57:44,743.44,1418,2026,1600463,Land,,COMPLETED
745.51,1604919,Al Yelayiss 5,2026-03-02T11:31:30,745.51,1342,2026,1604919,Land,,COMPLETED
178.51,1605498.28,Al Hebiah Fourth,2026-03-10T10:42:02,178.51,1436,2026,1605498,Unit,Flat,COMPLETED
86.3,1624719.71,Marsa Dubai,2026-03-10T10:42:33,86.3,1437,2026,1624720,Unit,Flat,COMPLETED
85.19,1700000,World Islands,2026-03-26T11:32:38,85.19,1641,2026,1700000,Unit,Hotel Rooms,COMPLETED
174.8,1700000,Madinat Hind 4,2026-03-03T09:21:55,174.8,1351,2026,1700000,Land,Residential,COMPLETED
165.35,1735114.79,Al Barsha South Fifth,2026-03-09T20:10:26,165.35,1427,2026,1735115,Unit,Flat,COMPLETED
120.42,1748716.2,Al Barsha South Fourth,2026-03-12T16:38:19,120.42,1477,2026,1748716,Unit,Flat,COMPLETED
216,1827422.38,Al Yelayiss 1,2026-03-05T11:09:49,216,1391,2026,1827422,Building,Villa,COMPLETED
500.47,1885453,Al Layan1,2026-03-17T15:17:07,500.47,1545,2026,1885453,Land,Labor Camp,COMPLETED
76.4,1913380.09,Um Suqaim Third,2026-03-30T11:58:06,76.4,1670,2026,1913380,Unit,Flat,COMPLETED
211.35,1999681,Hor Al Anz,2026-03-03T13:13:16,211.35,1363,2026,1999681,Land,Residential,COMPLETED
594.59,2000000,Al Rashidiya,2026-03-17T13:52:57,594.59,1542,2026,2000000,Land,Residential,COMPLETED
70.41,2000000,Al Merkadh,2026-03-24T13:56:45,70.41,1608,2026,2000000,Unit,Flat,COMPLETED
211.35,2047455,Hor Al Anz,2026-03-27T10:26:04,211.35,1656,2026,2047455,Land,Residential,COMPLETED
277.68,2143419.64,Al Yelayiss 1,2026-03-25T00:52:33,277.68,1614,2026,2143420,Building,Villa,COMPLETED
278.42,2144755.49,Al Yelayiss 1,2026-03-05T11:16:13,278.42,1392,2026,2144755,Building,Villa,COMPLETED
278.42,2144755.49,Al Yelayiss 1,2026-03-05T11:05:31,278.42,1390,2026,2144755,Building,Villa,COMPLETED
109.18,2153835.54,Al Merkadh,2026-03-13T13:33:15,109.18,1489,2026,2153836,Unit,Flat,COMPLETED
107.3,2160073.84,Burj Khalifa,2026-03-16T14:55:34,107.3,1529,2026,2160074,Unit,Flat,COMPLETED
101.87,2175440.42,Business Bay,2026-03-17T13:07:23,101.87,1541,2026,2175440,Unit,Office,COMPLETED
150.4,2178615.43,Al Hebiah Third,2026-03-16T10:17:12,150.4,1507,2026,2178615,Unit,Flat,COMPLETED
145.53,2199384.62,Marsa Dubai,2026-03-09T14:54:28,145.53,1426,2026,2199385,Unit,Flat,COMPLETED
206.4,2200000,Madinat Al Mataar,2026-03-26T11:14:49,206.4,1640,2026,2200000,Unit,Flat,COMPLETED
85.93,2231125.08,Business Bay,2026-03-19T11:02:02,85.93,1561,2026,2231125,Unit,Flat,COMPLETED
100.59,2234721.39,Al Khairan First,2026-03-05T13:46:47,100.59,1398,2026,2234721,Unit,Flat,COMPLETED
260.59,2243972,Al Raffa,2026-03-02T13:16:47,260.59,1347,2026,2243972,Land,Commercial,COMPLETED
